['if i were a guy i would fuck a grapefruit horny huntsman gal', '33', '-4', '65', '-0.3076923076923077']
['during an interview phone call interviewer so we have your email here for penn state is that still up to date ', '3', '0', '113', '0']
['girl ranting at blaze all men are trash guys at the table look down at the floor uh except for you guys y all are compost ', '50', '0', '134', '0']
['me browsing through a friend s photo album awww your toddler is so cute friend which photo me pointing to the left half of the fourth one figure 4a friend you need to take some time off from research', '1', '5', '208', '0.1282051282051282']
['ahhhhhhh omg did that come out of me a penn dental student in a gse restroom upon seeing a cockroach in the toilet as she s peeing ', '9', '0', '141', '0']
['the odds are good but the goods are odd girl talking about boyfriends in engineering', '56', '1', '87', '0.06666666666666667']
['overheard on locust should i book a gsr to break up with my boyfriend ', '60', '0', '73', '0']
['orgo students doing work oh that reaction is so cute ', '61', '2', '59', '0.2']
['locust walk i heard that you can change your sexuality when you re on high on drugs ', '0', '0', '87', '0']
['student i got friendzoned by a girl for 2 years and now i ve been dating her for 3 lonely wharton freshman dude that s such a successful investment that s a return on investment of 150 ', '53', '1', '190', '0.02702702702702703']
['in platt i don t get tipsy until at least 10 shots ', '29', '0', '54', '0']
['overheard at huntsman can you go out tonight obviously not i have coding to do ', '53', '0', '86', '0']
['new college house west that names kind of sexy ', '1', '5', '54', '0.5555555555555556']
['right behind me 2 boys in conversation yeah objectively rhea just isn t that hot i am rhea fuck you', '52', '-3', '107', '-0.15']
['i have no motivation for anything even sex what sex ', '8', '0', '62', '0']
['guys i don t know how to factor practically done girl at cis 160 office hours', '7', '0', '86', '0']
['i wanted a hot boy summer but i really just fell in love instead ', '6', '3', '68', '0.21428571428571427']
['excited freshman overheard in commons i really wanna do consulting coz i love giving advice ', '54', '6', '96', '0.4']
['it s not sexual tension it s just tension ', '1', '-2', '44', '-0.2222222222222222']
['friend 1 oh oh is this tea friend 2 no it s not it s fucking chai ', '41', '-3', '75', '-0.17647058823529413']
['guy last minute cramming for midterm are you sure thats what the textbook says then the slides are completely wrong i have zero confidence now what the fuck ', '5', '-4', '163', '-0.14285714285714285']
['no it wasn t racism or sexism it s more like socialism ', '2', '-2', '66', '-0.16666666666666666']
['some loud drunk girl at mcd s around 2am it s not like i m trying to brag or anything but idk i naturally attract men like should i try to look ugly ', '3', '-4', '156', '-0.12121212121212122']
['wherever i hear the name cindy i just think of that thot from jimmy neutron ', '27', '0', '78', '0']
['me i m in the nipple i m in bumblefuck in the quad my friend wait there s a house in the quad called bumblefuck ', '0', '1', '119', '0.04']
['overheard in huntsman i love how you pride yourself on how much you suffer ', '2', '1', '77', '0.07142857142857142']
['we are not working at chuck e motherfucking cheese leah ', '5', '-5', '58', '-0.5']
['so then after romeo leaves juliet realizes she actually has feelings for him so let s use phase portraits to see how their relationship will develop in the long run ', '7', '0', '167', '0']
['bandana d man to his mysterious squad in front of commons who the fuck doesn t like potatoes communists ', '10', '-2', '111', '-0.10526315789473684']
['i will go to formal with her lol did you even ask her yet you re so confident fuck fine i retract my statement rather i will ask her to formal ', '14', '3', '153', '0.0967741935483871']
['420 last night fuck i don t wanna be that basic high bitch at wawa ', '10', '-9', '71', '-0.6']
['back in high school i was like really big on college confidential guy trying to impress girl on locust walk', '27', '6', '111', '0.3']
['for real i had a pet snake i named it fluffy it was sooo cuteeee i fed him mice it was a nice snake loved him ', '19', '6', '117', '0.23076923076923078']
['i did a line of mumps and then i tried some measles fucked up visiting swede at 3 45 am', '5', '-4', '92', '-0.2']
['i m trying to go out with a bang senior getting ready for graduation', '14', '0', '73', '0']
['overhead at franklin s table girl i like mayo guy that s because you re white ', '16', '2', '84', '0.125']
['guy walking girl back from a party on locust also if it is mumps i got my booster ', '1', '0', '86', '0']
['love is a hoax perpetrated by the chinese to slow the us economy ', '47', '-1', '66', '-0.07692307692307693']
['baby quaker in huntsman everyone here looks so cocky i think i ll fit right in ', '18', '-1', '83', '-0.0625']
